LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 30608, 0, 84.08300226683693, 94.53125, 81.12253287087009,
1, 2379, 0, 15.393482030264817, 73.2421875, 12.207031249999996,
2, 938, 0, 99.94669509594883, 99.94669509594883, 99.94669509594883,
