LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 30543.0, 1647112.5, 1.0, 29790.75, 69696, 63.0, 30608.0, 1742400, 22.0, 30511.0, 650925, -10.0, 29780.75, 34848, 94.0, 30615.0, 871200,
1, 33.0, 2321.0, 25000, 1.0, 2293.0, 30000, 63.0, 2369.0, 30000, 22.0, 2321.0, 12500, -10.0, 2293.0, 15000, 95.0, 2381.0, 15000,
