LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 57.03155059638323, 0.30165448249326665, 31.037578555854815, 13.916202679869642, 0.25029264658933703, 15.612903225806452,
2, 56.69398501316411, 1.6590832376966178, 37.79599000877608, 28.497047845266373, 0.8759077604459736, 19.012548055980456,
3, 57.158913992785266, 2.073792797924182, 50.80792354914246, 28.89767709733154, 1.2336204230991066, 25.822296546975558,
4, 60.38480631816472, 1.2323429860849944, 60.38480631816472, 30.372881355932204, 0.7019107188758461, 30.39588066030592,
5, ,
