1,40000000,-1,-1,-1
2,40000001,40000100,-1,-1
3,40000002,40000101,40000200,-1
4,40000003,40000102,40000201,40000300
5,40000004,40000103,40000202,40000301
6,40000005,40000104,40000203,40000302
7,40000006,40000105,40000204,40000303
8,40000007,40000106,40000205,40000304
9,40000008,40000107,40000206,40000305
10,40000009,40000108,40000207,40000306
11,40000010,40000109,40000208,40000307
12,40000011,40000110,40000209,40000308
13,40000012,40000111,40000210,40000309
14,40000013,40000112,40000211,40000310
15,40000014,40000113,40000212,40000311
16,40000015,40000114,40000213,40000312
17,40000016,40000115,40000214,40000313
18,40000017,40000116,40000215,40000314
19,40000018,40000117,40000216,40000315
20,40000019,40000118,40000217,40000316
21,40000020,40000119,40000218,40000317
22,40000021,40000120,40000219,40000318
23,40000022,40000121,40000220,40000319
24,40000023,40000122,40000221,40000320
25,40000024,40000123,40000222,40000321
26,40000025,40000124,40000223,40000322
27,40000026,40000125,40000224,40000323
28,40000027,40000126,40000225,40000324
29,40000028,40000127,40000226,40000325
30,40000029,40000128,40000227,40000326
31,40000030,40000129,40000228,40000327
32,40000031,40000130,40000229,40000328
33,40000032,40000131,40000230,40000329
34,40000033,40000132,40000231,40000330
35,40000034,40000133,40000232,40000331
36,40000035,40000134,40000233,40000332
37,40000036,40000135,40000234,40000333
38,40000037,40000136,40000235,40000334
39,40000038,40000137,40000236,40000335
40,40000039,40000138,40000237,40000336
41,40000040,40000139,40000238,40000337
42,40000041,40000140,40000239,40000338
43,40000042,40000141,40000240,40000339
44,40000043,40000142,40000241,40000340
45,40000044,40000143,40000242,40000341
46,40000045,40000144,40000243,40000342
47,40000046,40000145,40000244,40000343
48,40000047,40000146,40000245,40000344
49,40000048,40000147,40000246,40000345
50,40000049,40000148,40000247,40000346
51,40000050,40000149,40000248,40000347
52,40000051,40000150,40000249,40000348
53,40000052,40000151,40000250,40000349
54,40000053,40000152,40000251,40000350
55,40000054,40000153,40000252,40000351
56,40000055,40000154,40000253,40000352
57,40000056,40000155,40000254,40000353
58,40000057,40000156,40000255,40000354
59,40000058,40000157,40000256,40000355
60,40000059,40000158,40000257,40000356
61,40000060,40000159,40000258,40000357
62,40000061,40000160,40000259,40000358
63,40000062,40000161,40000260,40000359
64,40000063,40000162,40000261,40000360
65,40000064,40000163,40000262,40000361
66,40000065,40000164,40000263,40000362
67,40000066,40000165,40000264,40000363
68,40000067,40000166,40000265,40000364
69,40000068,40000167,40000266,40000365
70,40000069,40000168,40000267,40000366
71,40000070,40000169,40000268,40000367
72,40000071,40000170,40000269,40000368
73,40000072,40000171,40000270,40000369
74,40000073,40000172,40000271,40000370
75,40000074,40000173,40000272,40000371
76,40000075,40000174,40000273,40000372
77,40000076,40000175,40000274,40000373
78,40000077,40000176,40000275,40000374
79,40000078,40000177,40000276,40000375
80,40000079,40000178,40000277,40000376
81,40000080,40000179,40000278,40000377
82,40000081,40000180,40000279,40000378
83,40000082,40000181,40000280,40000379
84,40000083,40000182,40000281,40000380
85,40000084,40000183,40000282,40000381
86,40000085,40000184,40000283,40000382
87,40000086,40000185,40000284,40000383
88,40000087,40000186,40000285,40000384
89,40000088,40000187,40000286,40000385
90,40000089,40000188,40000287,40000386
91,40000090,40000189,40000288,40000387
92,40000091,40000190,40000289,40000388
93,40000092,40000191,40000290,40000389
94,40000093,40000192,40000291,40000390
95,40000094,40000193,40000292,40000391
96,40000095,40000194,40000293,40000392
97,40000096,40000195,40000294,40000393
98,40000097,40000196,40000295,40000394
99,40000098,40000197,40000296,40000395
100,40000099,40000198,40000297,40000396
101,-1,40000199,40000298,40000397
102,-1,-1,40000299,40000398
103,-1,-1,-1,40000399
104,-1,-1,-1,-1
105,-1,-1,-1,-1
106,-1,-1,-1,-1
107,40000000,-1,-1,-1
108,40000001,40000100,-1,-1
109,40000002,40000101,40000200,-1
110,40000003,40000102,40000201,40000300
111,40000004,40000103,40000202,40000301
112,40000005,40000104,40000203,40000302
113,40000006,40000105,40000204,40000303
114,40000007,40000106,40000205,40000304
115,40000008,40000107,40000206,40000305
116,40000009,40000108,40000207,40000306
117,40000010,40000109,40000208,40000307
118,40000011,40000110,40000209,40000308
119,40000012,40000111,40000210,40000309
120,40000013,40000112,40000211,40000310
121,40000014,40000113,40000212,40000311
122,40000015,40000114,40000213,40000312
123,40000016,40000115,40000214,40000313
124,40000017,40000116,40000215,40000314
125,40000018,40000117,40000216,40000315
126,40000019,40000118,40000217,40000316
127,40000020,40000119,40000218,40000317
128,40000021,40000120,40000219,40000318
129,40000022,40000121,40000220,40000319
130,40000023,40000122,40000221,40000320
131,40000024,40000123,40000222,40000321
132,40000025,40000124,40000223,40000322
133,40000026,40000125,40000224,40000323
134,40000027,40000126,40000225,40000324
135,40000028,40000127,40000226,40000325
136,40000029,40000128,40000227,40000326
137,40000030,40000129,40000228,40000327
138,40000031,40000130,40000229,40000328
139,40000032,40000131,40000230,40000329
140,40000033,40000132,40000231,40000330
141,40000034,40000133,40000232,40000331
142,40000035,40000134,40000233,40000332
143,40000036,40000135,40000234,40000333
144,40000037,40000136,40000235,40000334
145,40000038,40000137,40000236,40000335
146,40000039,40000138,40000237,40000336
147,40000040,40000139,40000238,40000337
148,40000041,40000140,40000239,40000338
149,40000042,40000141,40000240,40000339
150,40000043,40000142,40000241,40000340
151,40000044,40000143,40000242,40000341
152,40000045,40000144,40000243,40000342
153,40000046,40000145,40000244,40000343
154,40000047,40000146,40000245,40000344
155,40000048,40000147,40000246,40000345
156,40000049,40000148,40000247,40000346
157,40000050,40000149,40000248,40000347
158,40000051,40000150,40000249,40000348
159,40000052,40000151,40000250,40000349
160,40000053,40000152,40000251,40000350
161,40000054,40000153,40000252,40000351
162,40000055,40000154,40000253,40000352
163,40000056,40000155,40000254,40000353
164,40000057,40000156,40000255,40000354
165,40000058,40000157,40000256,40000355
166,40000059,40000158,40000257,40000356
167,40000060,40000159,40000258,40000357
168,40000061,40000160,40000259,40000358
169,40000062,40000161,40000260,40000359
170,40000063,40000162,40000261,40000360
171,40000064,40000163,40000262,40000361
172,40000065,40000164,40000263,40000362
173,40000066,40000165,40000264,40000363
174,40000067,40000166,40000265,40000364
175,40000068,40000167,40000266,40000365
176,40000069,40000168,40000267,40000366
177,40000070,40000169,40000268,40000367
178,40000071,40000170,40000269,40000368
179,40000072,40000171,40000270,40000369
180,40000073,40000172,40000271,40000370
181,40000074,40000173,40000272,40000371
182,40000075,40000174,40000273,40000372
183,40000076,40000175,40000274,40000373
184,40000077,40000176,40000275,40000374
185,40000078,40000177,40000276,40000375
186,40000079,40000178,40000277,40000376
187,40000080,40000179,40000278,40000377
188,40000081,40000180,40000279,40000378
189,40000082,40000181,40000280,40000379
190,40000083,40000182,40000281,40000380
191,40000084,40000183,40000282,40000381
192,40000085,40000184,40000283,40000382
193,40000086,40000185,40000284,40000383
194,40000087,40000186,40000285,40000384
195,40000088,40000187,40000286,40000385
196,40000089,40000188,40000287,40000386
197,40000090,40000189,40000288,40000387
198,40000091,40000190,40000289,40000388
199,40000092,40000191,40000290,40000389
200,40000093,40000192,40000291,40000390
201,40000094,40000193,40000292,40000391
202,40000095,40000194,40000293,40000392
203,40000096,40000195,40000294,40000393
204,40000097,40000196,40000295,40000394
205,40000098,40000197,40000296,40000395
206,40000099,40000198,40000297,40000396
207,-1,40000199,40000298,40000397
208,-1,-1,40000299,40000398
209,-1,-1,-1,40000399
210,-1,-1,-1,-1
211,-1,-1,-1,-1
212,-1,-1,-1,-1
213,40000000,-1,-1,-1
214,40000001,40000100,-1,-1
215,40000002,40000101,40000200,-1
216,40000003,40000102,40000201,40000300
217,40000004,40000103,40000202,40000301
218,40000005,40000104,40000203,40000302
219,40000006,40000105,40000204,40000303
220,40000007,40000106,40000205,40000304
221,40000008,40000107,40000206,40000305
222,40000009,40000108,40000207,40000306
223,40000010,40000109,40000208,40000307
224,40000011,40000110,40000209,40000308
225,40000012,40000111,40000210,40000309
226,40000013,40000112,40000211,40000310
227,40000014,40000113,40000212,40000311
228,40000015,40000114,40000213,40000312
229,40000016,40000115,40000214,40000313
230,40000017,40000116,40000215,40000314
231,40000018,40000117,40000216,40000315
232,40000019,40000118,40000217,40000316
233,40000020,40000119,40000218,40000317
234,40000021,40000120,40000219,40000318
235,40000022,40000121,40000220,40000319
236,40000023,40000122,40000221,40000320
237,40000024,40000123,40000222,40000321
238,40000025,40000124,40000223,40000322
239,40000026,40000125,40000224,40000323
240,40000027,40000126,40000225,40000324
241,40000028,40000127,40000226,40000325
242,40000029,40000128,40000227,40000326
243,40000030,40000129,40000228,40000327
244,40000031,40000130,40000229,40000328
245,40000032,40000131,40000230,40000329
246,40000033,40000132,40000231,40000330
247,40000034,40000133,40000232,40000331
248,40000035,40000134,40000233,40000332
249,40000036,40000135,40000234,40000333
250,40000037,40000136,40000235,40000334
251,40000038,40000137,40000236,40000335
252,40000039,40000138,40000237,40000336
253,40000040,40000139,40000238,40000337
254,40000041,40000140,40000239,40000338
255,40000042,40000141,40000240,40000339
256,40000043,40000142,40000241,40000340
257,40000044,40000143,40000242,40000341
258,40000045,40000144,40000243,40000342
259,40000046,40000145,40000244,40000343
260,40000047,40000146,40000245,40000344
261,40000048,40000147,40000246,40000345
262,40000049,40000148,40000247,40000346
263,40000050,40000149,40000248,40000347
264,40000051,40000150,40000249,40000348
265,40000052,40000151,40000250,40000349
266,40000053,40000152,40000251,40000350
267,40000054,40000153,40000252,40000351
268,40000055,40000154,40000253,40000352
269,40000056,40000155,40000254,40000353
270,40000057,40000156,40000255,40000354
271,40000058,40000157,40000256,40000355
272,40000059,40000158,40000257,40000356
273,40000060,40000159,40000258,40000357
274,40000061,40000160,40000259,40000358
275,40000062,40000161,40000260,40000359
276,40000063,40000162,40000261,40000360
